Date,Actual_price,Forecasted_Price
2000-05-09 00:00:00,6.1,4.95
2000-05-10 00:00:00,6.09,4.95
2000-05-11 00:00:00,5.78,4.97
2000-05-12 00:00:00,5.59,4.98
2000-05-15 00:00:00,5.62,5.0
2000-05-16 00:00:00,5.93,5.01
2000-05-17 00:00:00,5.72,5.01
2000-05-18 00:00:00,5.53,5.03
2000-05-19 00:00:00,5.07,5.04
2000-05-22 00:00:00,4.61,5.07
2000-05-23 00:00:00,4.41,5.08
2000-05-24 00:00:00,4.49,5.09
2000-05-25 00:00:00,4.67,5.11
2000-05-26 00:00:00,4.31,5.12
2000-05-30 00:00:00,4.81,5.19
2000-05-31 00:00:00,4.8,5.21
2000-06-01 00:00:00,5.0,5.24
2000-06-02 00:00:00,5.81,5.25
2000-06-05 00:00:00,6.01,5.31
2000-06-06 00:00:00,5.88,5.33
2000-06-07 00:00:00,5.83,5.35
2000-06-08 00:00:00,5.88,5.38
2000-06-09 00:00:00,5.94,5.4
2000-06-12 00:00:00,5.91,5.45
2000-06-13 00:00:00,5.78,5.47
2000-06-14 00:00:00,5.7,5.48
2000-06-15 00:00:00,5.59,5.5
2000-06-16 00:00:00,5.5,5.52
2000-06-19 00:00:00,5.81,5.55
2000-06-20 00:00:00,6.05,5.57
2000-06-21 00:00:00,6.09,5.57
2000-06-22 00:00:00,5.79,5.6
2000-06-23 00:00:00,5.59,5.6
2000-06-26 00:00:00,5.48,5.63
2000-06-27 00:00:00,5.4,5.65
2000-06-28 00:00:00,5.77,5.65
2000-06-29 00:00:00,5.55,5.68
2000-06-30 00:00:00,5.54,5.69
2000-07-03 00:00:00,5.68,5.73
2000-07-05 00:00:00,5.53,5.76
2000-07-06 00:00:00,5.66,5.79
2000-07-07 00:00:00,5.66,5.8
2000-07-10 00:00:00,5.69,5.85
2000-07-11 00:00:00,5.52,5.87
2000-07-12 00:00:00,5.48,5.88
2000-07-13 00:00:00,5.22,5.91
2000-07-14 00:00:00,5.05,5.93
2000-07-17 00:00:00,5.07,5.98
2000-07-18 00:00:00,4.78,6.0
2000-07-19 00:00:00,4.64,6.01
2000-07-20 00:00:00,4.88,6.0
2000-07-21 00:00:00,4.62,5.97
2000-07-24 00:00:00,4.06,5.89
2000-07-25 00:00:00,4.17,5.87
2000-07-26 00:00:00,3.8,5.84
2000-07-27 00:00:00,4.08,5.83
2000-07-28 00:00:00,4.06,5.79
2000-07-31 00:00:00,4.15,5.71
2000-08-01 00:00:00,3.77,5.68
2000-08-02 00:00:00,3.29,5.65
2000-08-03 00:00:00,3.33,5.64
2000-08-04 00:00:00,3.62,5.61
